text,true_emotion,predicted_emotion
@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid  #hypocrisy,anger,anger
@LiamCannon1 He's just too raging to type properly... Ha ha!,anger,joy
@TrussElise Obama must be fuming.. lol,anger,joy
@fluffysoftlouis no no. I insist that you give me your best insult first,anger,joy
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger,joy
"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",anger,anger
Ok scrubbed hands 5 times before trying to put them in.\nEyeballs #burning \n#EvenMoreBlind accidentally scared the #cat whilst #screeching,anger,fear
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. ,anger,sadness
@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger,joy
#oow16 #sting decent new song,anger,joy
Eat my ass' is no longer an insult,anger,joy
@DJ_JeanFranko growl!!!,anger,anger
Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy  #emotionalrollercoaster,anger,sadness
"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm #snap #bored",anger,joy
Everybody talking about 'the first day of fall' but summer '16 is never gonna die #revenge @Drake,anger,joy
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,anger,anger
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming,anger,anger
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. #fuming,anger,anger
Literally fuming fuck sake,anger,anger
"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm  #bored",anger,joy
Losing to Villa...'@M0tivati0nQuote: Most of the things people worry about are things that won't even matter to them a few months from now.',fear,sadness
@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? ,fear,anger
Rooney shocking attempted cross,fear,anger
"@madhav_pastey moral of the story, never check mails in the night. PS. Most notices have nothing much to worry about. @ashwinikn",fear,fear
